locus_tag	ftype	length_bp	gene	EC_number	COG	product
EEKMDCAF_00001	CDS	804				hypothetical protein
EEKMDCAF_00002	CDS	252				hypothetical protein
EEKMDCAF_00003	CDS	522				hypothetical protein
EEKMDCAF_00004	CDS	258				hypothetical protein
EEKMDCAF_00005	CDS	1074	nrdB	1.17.4.1	COG0208	Ribonucleoside-diphosphate reductase subunit beta
EEKMDCAF_00006	CDS	1944	nrdZ	1.17.4.1		Vitamin B12-dependent ribonucleoside-diphosphate reductase
EEKMDCAF_00007	CDS	753				hypothetical protein
EEKMDCAF_00008	CDS	717				hypothetical protein
EEKMDCAF_00009	CDS	372				hypothetical protein
EEKMDCAF_00010	CDS	324				hypothetical protein
EEKMDCAF_00011	CDS	264				hypothetical protein
EEKMDCAF_00012	CDS	306				hypothetical protein
EEKMDCAF_00013	CDS	828				IS3 family transposase ISRj2
EEKMDCAF_00014	CDS	723				hypothetical protein
EEKMDCAF_00015	CDS	1233	mycG	1.14.-.-		Mycinamicin IV hydroxylase/epoxidase
EEKMDCAF_00016	CDS	2001				hypothetical protein
EEKMDCAF_00017	CDS	567				hypothetical protein
EEKMDCAF_00018	CDS	792				IS630 family transposase ISBj5
EEKMDCAF_00019	CDS	243				IS21 family transposase ISFK1
EEKMDCAF_00020	CDS	1761		4.2.1.53	COG4716	Oleate hydratase
EEKMDCAF_00021	CDS	759	fabG3	1.1.1.53		3-alpha-(or 20-beta)-hydroxysteroid dehydrogenase
EEKMDCAF_00022	CDS	789	adc_1	4.1.1.4		acetoacetate decarboxylase
EEKMDCAF_00023	CDS	1581				hypothetical protein
EEKMDCAF_00024	CDS	186				hypothetical protein
EEKMDCAF_00025	CDS	93				hypothetical protein
EEKMDCAF_00026	CDS	357				hypothetical protein
EEKMDCAF_00027	CDS	303				hypothetical protein
EEKMDCAF_00028	CDS	357	gltJ_1		COG0765	Glutamate/aspartate import permease protein GltJ
EEKMDCAF_00029	CDS	282				hypothetical protein
EEKMDCAF_00030	CDS	396				hypothetical protein
EEKMDCAF_00031	CDS	441				hypothetical protein
EEKMDCAF_00032	CDS	1983	traG_1			Conjugal transfer protein TraG
EEKMDCAF_00033	CDS	1740				hypothetical protein
EEKMDCAF_00034	CDS	543				hypothetical protein
EEKMDCAF_00035	CDS	336				hypothetical protein
EEKMDCAF_00036	CDS	546				hypothetical protein
EEKMDCAF_00037	CDS	519				hypothetical protein
EEKMDCAF_00038	CDS	267				hypothetical protein
EEKMDCAF_00039	CDS	639	soj	3.6.-.-	COG1192	Chromosome-partitioning ATPase Soj
EEKMDCAF_00040	CDS	1116				hypothetical protein
EEKMDCAF_00041	CDS	252				hypothetical protein
EEKMDCAF_00042	CDS	516				hypothetical protein
EEKMDCAF_00043	CDS	210				hypothetical protein
EEKMDCAF_00044	CDS	264				hypothetical protein
EEKMDCAF_00045	CDS	234				hypothetical protein
EEKMDCAF_00046	CDS	411				hypothetical protein
